camNum	frameNum	sysClock	buffer
0	229	7575	1
2	228	7576	1
0	230	7608	1
2	229	7608	1
0	231	7638	1
2	230	7654	1
0	232	7670	1
2	231	7686	1
0	233	7704	1
2	232	7717	1
0	234	7737	1
2	233	7750	1
0	235	7771	1
2	234	7782	1
0	236	7804	1
2	235	7814	1
0	237	7838	1
2	236	7846	1
0	238	7871	1
2	237	7878	1
0	239	7905	1
2	238	7910	1
0	240	7939	1
2	239	7943	1
0	241	7974	1
2	240	7976	1
0	242	8007	1
2	241	8008	1
0	243	8040	1
2	242	8054	1
0	244	8071	1
2	243	8085	1
0	245	8104	1
2	244	8118	1
0	246	8138	1
2	245	8150	1
0	247	8171	1
2	246	8182	1
0	248	8204	1
2	247	8214	1
0	249	8238	1
2	248	8246	1
0	250	8272	1
2	249	8278	1
0	251	8304	1
2	250	8309	1
0	252	8338	1
2	251	8342	1
0	253	8372	1
2	252	8374	1
0	254	8405	1
2	253	8422	1
0	255	8437	1
2	254	8454	1
0	256	8471	1
2	255	8486	1
0	257	8504	1
2	256	8518	1
0	258	8538	1
2	257	8550	1
0	259	8571	1
2	258	8581	1
0	260	8604	1
2	259	8613	1
0	261	8637	1
2	260	8645	1
0	262	8671	1
2	261	8677	1
0	263	8704	1
2	262	8710	1
0	264	8739	1
2	263	8742	1
0	265	8771	1
2	264	8773	1
0	266	8804	1
2	265	8821	1
0	267	8837	1
2	266	8853	1
0	268	8871	1
2	267	8885	1
0	269	8904	1
2	268	8917	1
0	270	8938	1
2	269	8949	1
0	271	8971	1
2	270	8981	1
0	272	9004	1
2	271	9013	1
0	273	9038	1
2	272	9045	1
0	274	9071	1
2	273	9077	1
0	275	9105	1
2	274	9110	1
0	276	9139	1
2	275	9142	1
0	277	9172	1
2	276	9190	1
0	278	9205	1
2	277	9221	1
0	279	9238	1
2	278	9253	1
0	280	9271	1
2	279	9285	1
0	281	9304	1
2	280	9317	1
0	282	9338	1
2	281	9349	1
0	283	9371	1
2	282	9381	1
0	284	9404	1
2	283	9414	1
0	285	9438	1
2	284	9445	1
0	286	9472	1
2	285	9478	1
0	287	9507	1
2	286	9510	1
0	288	9542	1
2	287	9543	1
0	289	9575	1
2	288	9590	1
0	290	9605	1
2	289	9621	1
0	291	9638	1
2	290	9653	1
0	292	9671	1
2	291	9685	1
0	293	9708	1
2	292	9718	1
0	294	9739	1
2	293	9750	1
0	295	9773	1
2	294	9782	1
0	296	9806	1
2	295	9814	1
0	297	9839	1
2	296	9846	1
0	298	9872	1
2	297	9879	1
0	299	9906	1
2	298	9910	1
0	300	9938	1
2	299	9957	1
0	301	9971	1
2	300	9989	1
0	302	10005	1
2	301	10022	1
0	303	10039	1
2	302	10054	1
0	304	10072	1
2	303	10085	1
0	305	10105	1
2	304	10117	1
0	306	10138	1
2	305	10150	1
0	307	10173	1
2	306	10182	1
0	308	10208	1
2	307	10214	1
0	309	10242	1
2	308	10247	1
0	310	10273	1
2	309	10278	1
0	311	10305	1
2	310	10325	1
0	312	10338	1
2	311	10357	1
0	313	10371	1
2	312	10389	1
0	314	10405	1
2	313	10421	1
0	315	10438	1
2	314	10453	1
0	316	10472	1
2	315	10485	1
0	317	10505	1
2	316	10517	1
0	318	10538	1
2	317	10549	1
0	319	10572	1
2	318	10582	1
0	320	10605	1
2	319	10613	1
0	321	10638	1
2	320	10645	1
0	322	10672	1
2	321	10677	1
0	323	10706	1
2	322	10726	1
0	324	10739	1
2	323	10758	1
0	325	10772	1
2	324	10789	1
0	326	10805	1
2	325	10821	1
0	327	10839	1
2	326	10853	1
0	328	10872	1
2	327	10885	1
0	329	10905	1
2	328	10917	1
0	330	10938	1
2	329	10949	1
0	331	10972	1
2	330	10981	1
0	332	11005	1
2	331	11013	1
0	333	11039	1
2	332	11045	1
0	334	11072	1
2	333	11093	1
0	335	11105	1
2	334	11125	1
0	336	11139	1
2	335	11157	1
0	337	11172	1
2	336	11189	1
0	338	11206	1
2	337	11222	1
0	339	11240	1
2	338	11254	1
0	340	11274	1
2	339	11286	1
0	341	11307	1
2	340	11318	1
0	342	11339	1
2	341	11349	1
0	343	11376	1
2	342	11383	1
0	344	11408	1
2	343	11414	1
0	345	11439	1
2	344	11445	1
0	346	11472	1
2	345	11493	1
0	347	11505	1
2	346	11525	1
0	348	11539	1
2	347	11557	1
0	349	11572	1
2	348	11589	1
0	350	11606	1
2	349	11621	1
0	351	11639	1
2	350	11653	1
0	352	11672	1
2	351	11685	1
0	353	11706	1
2	352	11717	1
0	354	11739	1
2	353	11749	1
0	355	11772	1
2	354	11781	1
0	356	11806	1
2	355	11813	1
0	357	11839	1
2	356	11861	1
0	358	11873	1
2	357	11893	1
0	359	11906	1
2	358	11925	1
0	360	11939	1
2	359	11957	1
0	361	11973	1
2	360	11989	1
0	362	12006	1
2	361	12021	1
0	363	12039	1
2	362	12053	1
0	364	12073	1
2	363	12085	1
0	365	12106	1
2	364	12117	1
0	366	12139	1
2	365	12149	1
0	367	12173	1
2	366	12182	1
0	368	12206	1
2	367	12213	1
0	369	12239	1
2	368	12261	1
0	370	12273	1
2	369	12294	1
0	371	12306	1
2	370	12326	1
0	372	12340	1
2	371	12357	1
0	373	12373	1
2	372	12389	1
0	374	12406	1
2	373	12421	1
0	375	12440	1
2	374	12453	1
0	376	12474	1
2	375	12486	1
0	377	12510	1
2	376	12519	1
0	378	12543	1
2	377	12551	1
0	379	12576	1
2	378	12583	1
0	380	12610	1
2	379	12631	1
0	381	12643	1
2	380	12663	1
0	382	12676	1
2	381	12695	1
0	383	12710	1
2	382	12727	1
0	384	12743	1
2	383	12759	1
0	385	12777	1
2	384	12791	1
