framenumber,cam0_frame,cam0_sysclock,cam2_frame,cam2_sysclock
241,241.0,7974.0,241,8008
242,242.0,8007.0,242,8054
243,243.0,8040.0,243,8085
244,244.0,8071.0,244,8118
245,245.0,8104.0,245,8150
246,246.0,8138.0,246,8182
247,247.0,8171.0,247,8214
248,248.0,8204.0,248,8246
249,249.0,8238.0,249,8278
250,250.0,8272.0,250,8309
251,251.0,8304.0,251,8342
252,252.0,8338.0,252,8374
253,253.0,8372.0,253,8422
254,254.0,8405.0,254,8454
255,255.0,8437.0,255,8486
256,256.0,8471.0,256,8518
257,257.0,8504.0,257,8550
258,258.0,8538.0,258,8581
259,259.0,8571.0,259,8613
260,260.0,8604.0,260,8645
261,261.0,8637.0,261,8677
262,262.0,8671.0,262,8710
263,263.0,8704.0,263,8742
264,264.0,8739.0,264,8773
265,265.0,8771.0,265,8821
266,266.0,8804.0,266,8853
267,267.0,8837.0,267,8885
268,268.0,8871.0,268,8917
269,269.0,8904.0,269,8949
270,270.0,8938.0,270,8981
271,271.0,8971.0,271,9013
272,272.0,9004.0,272,9045
273,273.0,9038.0,273,9077
274,274.0,9071.0,274,9110
275,275.0,9105.0,275,9142
276,276.0,9139.0,276,9190
277,277.0,9172.0,277,9221
278,278.0,9205.0,278,9253
279,279.0,9238.0,279,9285
280,280.0,9271.0,280,9317
281,281.0,9304.0,281,9349
282,282.0,9338.0,282,9381
283,283.0,9371.0,283,9414
284,284.0,9404.0,284,9445
285,285.0,9438.0,285,9478
286,286.0,9472.0,286,9510
287,287.0,9507.0,287,9543
288,288.0,9542.0,288,9590
289,289.0,9575.0,289,9621
290,290.0,9605.0,290,9653
291,291.0,9638.0,291,9685
292,292.0,9671.0,292,9718
293,293.0,9708.0,293,9750
294,294.0,9739.0,294,9782
295,295.0,9773.0,295,9814
296,296.0,9806.0,296,9846
297,297.0,9839.0,297,9879
298,298.0,9872.0,298,9910
299,299.0,9906.0,299,9957
300,300.0,9938.0,300,9989
301,301.0,9971.0,301,10022
302,302.0,10005.0,302,10054
303,303.0,10039.0,303,10085
304,304.0,10072.0,304,10117
305,305.0,10105.0,305,10150
306,306.0,10138.0,306,10182
307,307.0,10173.0,307,10214
308,308.0,10208.0,308,10247
309,309.0,10242.0,309,10278
310,310.0,10273.0,310,10325
311,311.0,10305.0,311,10357
312,312.0,10338.0,312,10389
313,313.0,10371.0,313,10421
314,314.0,10405.0,314,10453
315,315.0,10438.0,315,10485
316,316.0,10472.0,316,10517
317,317.0,10505.0,317,10549
318,318.0,10538.0,318,10582
319,319.0,10572.0,319,10613
320,320.0,10605.0,320,10645
321,321.0,10638.0,321,10677
322,322.0,10672.0,322,10726
323,323.0,10706.0,323,10758
324,324.0,10739.0,324,10789
