scorer,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10
bodyparts,red_light,red_light,red_light
coords,x,y,likelihood
357,393.71762,18.37681,0.03594763
358,244.36931,85.11142,0.025564946
359,364.7391,307.88913,0.8931879
360,368.0161,310.55063,0.99085474
361,372.8216,316.04944,0.97697884
362,375.29547,318.44086,0.94959664
363,375.51556,318.5794,0.9516569
364,374.6248,318.5204,0.9468891
365,372.27188,318.00568,0.99527156
366,370.9445,317.25394,0.9963318
367,370.82217,318.52408,0.99775505
368,372.65445,318.16772,0.9899212
369,375.99292,317.31213,0.94932735
370,378.39252,317.13318,1.0
371,378.45782,316.21375,0.99297744
372,376.69885,312.9835,0.9550998
373,376.44925,311.88074,0.97294307
374,377.1755,313.67282,0.95393634
375,378.31912,315.48178,0.98323065
376,380.08768,317.95114,1.0
377,380.9395,320.05417,1.0
378,381.44867,321.09033,1.0
379,382.79993,319.326,0.97733575
380,385.9444,315.72034,0.9664661
381,384.94055,311.1471,0.9253666
382,391.2932,311.13647,0.90890133
383,399.04407,315.3692,0.9512974
384,406.00986,318.56113,0.9087906
385,413.53403,323.5462,1.0
386,417.6713,326.80826,0.9526784
387,427.30594,331.3717,0.89289623
388,438.4394,334.24515,0.9017899
389,447.44092,334.38177,0.97059125
390,458.10577,337.06104,0.9994039
391,464.02728,338.97943,0.9608924
392,476.56873,341.18857,1.0
393,481.47412,341.83145,0.98193765
394,490.28918,345.6844,0.91272867
395,497.98285,348.12894,0.9302627
396,509.42194,350.61703,0.99861944
397,517.8141,349.23444,0.9494722
398,526.5985,348.32095,0.99086934
399,536.0459,348.1044,0.8513252
400,544.80347,349.96344,0.9659921
401,557.2678,351.00217,0.9774631
402,565.8933,351.46454,0.97627336
403,574.0369,351.08917,0.9859514
404,581.53687,351.35605,0.98650694
405,589.7685,351.43073,0.9813676
406,595.268,351.2045,0.9888836
407,602.8336,350.00632,0.9907779
408,607.8763,348.96008,0.95671326
409,611.3099,345.56458,0.94448125
410,617.1283,343.56982,0.9464307
411,617.03046,342.9758,0.9632912
412,615.0047,341.70175,0.98342055
413,614.7255,341.1639,1.0
414,610.6519,339.65955,1.0
415,608.5709,335.19,0.94288135
416,608.3793,332.7789,0.9844359
417,608.296,330.1907,0.95327055
418,608.5504,328.6706,0.9630191
419,607.74426,326.10013,0.996599
420,607.4603,325.99268,0.99896204
421,608.8864,324.93576,1.0
422,610.68945,320.95535,1.0
423,611.39856,314.65634,0.9616653
424,610.9154,310.8385,0.99424565
425,613.0113,309.0251,0.9878485
426,614.32336,308.94394,0.9802425
427,612.46277,308.7574,0.9994221
428,608.0163,309.816,1.0
429,604.766,306.74188,1.0
430,604.02136,303.0006,0.9697442
431,604.00275,299.9297,0.96253014
432,604.1391,301.63513,0.9845286
433,604.52014,302.40018,0.9945015
434,603.8156,300.36752,0.96522176
435,604.1171,300.51465,0.9811662
436,605.56714,301.96957,1.0
437,606.7066,304.32196,0.9638315
438,611.18866,310.3165,0.96143645
439,617.15265,317.116,0.89300257
440,619.8999,322.19315,1.0
441,620.52747,325.7108,1.0
442,620.5306,332.93933,1.0
443,616.51263,336.02325,0.9710536
444,614.16785,335.23245,0.9873867
445,611.3455,337.13425,1.0
446,613.92236,339.30383,1.0
447,615.6094,341.21326,1.0
448,614.95795,342.33774,0.998315
449,614.0751,345.8991,0.9180201
450,611.51587,349.10303,0.9772322
451,610.13983,349.2538,0.97274995
452,610.81006,347.89008,0.96498907
453,613.9003,349.82083,0.9627098
454,617.8938,350.77744,0.9774875
455,619.5196,348.5048,1.0
456,617.03815,349.54187,0.9511438
457,612.8503,349.7752,0.92941415
458,612.0931,348.7439,0.6646144
459,613.47656,350.11343,0.3082055
460,388.35776,19.250809,0.028232418
461,244.30994,85.05146,0.026139896
462,610.9695,344.6396,0.96660614
463,611.07043,342.17014,1.0
464,611.08936,342.2752,1.0
465,608.27216,341.5847,1.0
466,607.31494,339.20428,1.0
467,606.9245,336.36163,1.0
468,608.6075,335.6491,0.9590237
469,610.0918,336.9969,1.0
470,611.74426,339.24594,1.0
471,614.3549,341.77817,0.9911974
472,616.14484,342.9231,0.9578357
473,618.88806,343.853,0.97428477
474,617.1871,345.12704,0.9199587
475,613.59735,350.25192,0.98665017
476,608.74304,352.33847,1.0
477,607.3042,352.56992,1.0
478,607.2297,352.85995,1.0
479,607.29193,353.16223,1.0
480,606.3114,352.79773,1.0
481,602.07166,353.34418,1.0
482,590.3268,351.3442,0.96688455
483,582.52844,348.94733,0.8940885
484,577.75476,340.94394,1.0
485,574.8107,339.78638,1.0
486,571.669,341.7236,1.0
487,569.8281,341.35803,1.0
488,568.94147,339.9105,1.0
489,566.1859,337.4737,1.0
490,568.205,339.938,1.0
491,565.99634,339.56116,1.0
492,562.68896,339.20477,1.0
493,562.0755,336.596,1.0
494,562.04565,334.55295,0.9732076
495,561.92554,335.2334,0.9611633
496,562.8108,334.98303,0.97717214
497,564.49994,334.03064,0.97530246
498,568.12317,331.9749,0.91758734
499,568.93054,330.36346,0.9059617
500,568.66125,331.22876,0.8801643
501,569.13385,330.10947,0.9156606
502,569.62866,330.39282,0.89622074
503,569.4451,332.1471,0.94183767
504,568.6927,332.26627,0.917317
505,568.2757,331.17337,0.87914586
506,570.17316,329.08395,0.9171368
507,572.80615,328.7626,0.9250805
508,574.5377,328.32355,0.9326097
509,574.32404,327.53094,0.98118067
510,573.3738,327.53073,0.9878201
511,572.92633,328.01602,0.9661094
512,572.9248,328.11618,0.9712511
513,572.0181,327.74823,0.947796
514,571.05005,328.102,0.9639703
515,569.50903,328.03052,0.9320722
516,565.50653,329.40845,0.9136168
517,558.717,334.76456,0.9618009
518,559.2783,340.73325,1.0
519,556.7564,339.43158,1.0
520,552.25934,338.07855,1.0
521,549.5316,336.2481,0.9900477
522,551.4758,336.71014,0.9390149
523,554.21063,335.23413,0.97018903
524,553.7451,331.00928,0.92391765
525,552.71313,327.50406,0.96328413
526,550.9643,326.69962,0.9567039
527,546.64484,324.4179,0.99635017
528,542.9267,319.88504,0.97314155
529,543.33167,316.0398,1.0
530,543.8803,316.63705,1.0
531,543.18134,319.25934,0.9489742
532,540.71545,324.74228,1.0
533,537.5926,333.36478,0.95926476
534,536.0982,337.98633,1.0
535,534.5825,335.47858,0.9595034
536,538.27936,338.14694,1.0
537,540.5796,340.772,1.0
538,540.54944,340.59412,1.0
539,539.8976,339.76944,1.0
540,539.18005,338.64908,1.0
541,539.8558,339.13577,1.0
542,540.3511,339.61713,1.0
543,540.0773,339.6319,1.0
544,536.47955,336.88492,0.973469
545,530.91016,334.7791,0.98153293
546,526.07666,336.66238,1.0
547,521.5642,340.34183,1.0
548,513.23834,340.31412,1.0
549,506.51572,338.98126,1.0
550,495.13507,338.23642,1.0
551,489.43033,339.94772,1.0
552,476.30676,338.7073,1.0
553,462.69864,336.70395,0.99676836
554,452.07016,337.2085,1.0
555,443.8936,338.40515,1.0
556,433.03604,335.5469,0.98026514
557,428.17606,335.71844,1.0
558,418.32294,337.04562,1.0
559,413.57565,338.89935,1.0
560,406.21573,336.5372,0.9579786
561,398.0821,335.75546,0.99280846
562,390.89474,335.40244,0.94613254
563,383.953,335.20474,0.96573675
564,383.15915,331.6151,0.9870572
565,380.1525,326.37933,1.0
566,378.64172,327.85806,0.98791647
567,376.95697,328.71286,0.9662677
568,375.33408,331.2646,0.9417175
569,372.41092,334.96692,0.98885286
570,370.04626,336.9308,1.0
571,369.89893,336.95648,1.0
572,370.8948,337.87918,1.0
573,376.72577,339.29474,1.0
574,380.31244,338.91693,1.0
575,380.06842,337.4413,1.0
576,378.2249,341.30884,1.0
577,375.1486,343.4109,0.9738574
578,371.3339,343.12332,0.98408854
579,369.26413,343.41425,0.9574252
580,367.8072,343.4263,0.99043334
581,366.24924,343.8707,1.0
582,364.19022,344.7274,0.97737885
583,362.44208,345.0809,0.96901166
584,362.3579,344.3339,0.96471655
585,364.0769,341.30502,1.0
586,363.53647,336.90286,1.0
587,364.60504,328.65115,0.9869437
588,364.34543,316.8322,1.0
589,364.2699,312.2519,1.0
590,365.0601,311.88336,1.0
591,366.97076,312.78473,0.9745841
592,367.86673,312.00714,0.966813
593,369.53482,310.77448,0.97477573
594,374.66568,309.996,0.97199345
595,377.6093,310.7163,1.0
596,379.4372,310.79382,1.0
597,380.7155,310.95764,1.0
598,382.20926,311.57184,0.99519086
599,383.7433,312.1482,0.9513091
600,388.4333,312.45807,0.9352373
601,391.7783,313.30554,0.90331846
602,393.7207,315.15485,0.96587247
603,396.66852,318.19537,0.9988732
604,399.13815,319.2934,0.96439695
605,411.9499,323.45236,1.0
606,424.62012,332.11966,0.8730385
607,430.5476,336.03967,0.97583646
608,434.38956,336.28427,0.97623295
609,441.83453,335.9182,0.9777617
610,446.83206,335.00513,0.96327317
611,457.57547,338.0481,1.0
612,463.52063,337.38992,0.9945117
613,473.34378,337.57812,1.0
614,479.5353,339.65244,0.98906875
615,489.03574,344.26587,0.90315974
616,495.81793,348.93994,0.97856075
617,506.8476,346.21225,0.9463139
618,517.8157,341.2606,1.0
619,526.61444,342.95377,0.98271537
620,534.2721,348.06924,0.88241714
621,543.1627,350.22943,0.9979143
622,553.3139,347.88837,0.9448784
623,558.99945,348.8607,0.99521637
624,565.5663,350.6196,0.9420855
625,574.2107,352.76187,1.0
626,584.53424,353.2895,0.9884354
627,590.6419,350.7788,0.9689481
628,601.05066,351.85135,0.9578071
629,606.9052,350.83777,1.0
630,610.85156,345.45544,0.9760103
631,614.6414,338.32855,1.0
632,616.02515,338.10703,1.0
633,614.5473,337.82596,0.96088725
634,610.7599,334.8423,0.94672334
635,606.871,328.6021,0.94739044
636,605.36066,329.11096,0.9666269
637,607.8681,332.53522,0.97440314
638,613.3072,334.98016,0.96480685
639,619.2534,340.76675,0.98159236
640,621.59906,345.6236,0.9932997
641,623.0884,342.81998,1.0
642,622.1994,338.17917,1.0
643,621.8376,339.30884,1.0
644,619.3829,345.22238,0.98802304
645,615.79767,343.43298,0.93633366
646,614.4102,342.97174,0.9789471
647,611.4156,342.86465,0.99996996
648,610.4309,342.69458,1.0
649,611.3625,339.29404,1.0
650,612.8192,336.15158,0.9967401
651,614.86597,336.68082,1.0
652,610.96643,337.75616,1.0
653,611.7625,336.005,1.0
654,612.71606,337.39813,1.0
655,614.64026,335.8329,1.0
656,613.52795,335.54706,0.9945637
657,613.57336,335.90485,0.99150217
658,612.23285,337.26224,1.0
659,611.89874,337.60574,1.0
660,611.4962,339.74747,1.0
661,611.68304,340.13556,1.0
662,613.3832,341.15445,1.0
663,615.4078,341.4036,1.0
664,615.315,341.33417,1.0
665,615.2521,341.3252,0.99331164
666,614.90137,343.96448,0.9621115
667,611.62573,345.2621,0.96249795
668,611.208,347.21518,0.9682835
669,610.3553,345.7004,0.97198623
670,611.18176,341.6982,1.0
671,610.0864,336.67465,1.0
672,610.3921,333.5202,0.9783377
673,610.72516,331.627,0.97559756
